Aguascalientes,944 285
Baja California,2 487 367
Baja California Sur,424 041
Campeche,690 689
Coahuila de Zaragoza,2 298 070
Colima,542 627
Chiapas,3 920 892
Chihuahua,3 052 907
Ciudad de México,8 605 239
Durango,1 448 661
Guanajuato,4 663 032
Guerrero,3 079 649
Hidalgo,2 235 591
Jalisco,6 322 002
México,13 096 686
Michoacán de Ocampo,3 985 667
Morelos,1 555 296
Nayarit,920 185
Nuevo León,3 834 141
Oaxaca,3 438 765
Puebla,5 076 686
Querétaro,1 404 306
Quintana Roo,874 963
San Luis Potosí,2 299 360
Sinaloa,2 536 844
Sonora,2 216 969
Tabasco,1 891 829
Tamaulipas,2 753 222
Tlaxcala,962 646
Veracruz de Ignacio de la Llave,6 908 975
Yucatán,1 658 210
Zacatecas,1 353 610